0,Neha has asked a question What are Collections in Java?,0,1,1,10-01-2021
1,Neha has asked a question What is the velocity of light?,0,4,4,22-01-2021
2,Neha has asked a question How to read a file?,0,5,-1,23-02-2021
3,Neha10 has asked a question How to write a for loop?,1,6,-1,23-02-2021
4,Neha10 has given an Answer of the question What are Collections in Java?,1,1,9,18-02-2021
5,Neha10 has given an Answer of the question What are Collections in Java?,1,1,10,18-02-2021
6,Neha10 has given an Answer of the question What are Collections in Java?,1,1,11,10-02-2021
7,Neha has asked a question How to get date in java?,0,8,-1,23-02-2021
8,Neha has asked a question What is min-max algo?,0,9,-1,23-02-2021
9,Neha has asked a question How to add a file in github.,0,15,-1,24-02-2021
10,A has asked a question What is breakpoint in debugging.,5,16,-1,26-02-2021
11,Neha10 has given an Answer of the question How to read a file?,1,5,12,26-02-2021
12,Neha10 has given an Answer of the question How to get date in java?,1,8,13,26-02-2021
13,Neha10 has asked a question How to make test report?,1,17,-1,26-02-2021
14,Neha10 has given an Answer of the question How to make test report?,1,17,14,26-02-2021
15,A has given an Answer of the question How access csv file in java?,5,10,15,01-03-2021
16,Neha has given an Answer of the question What is java Swing?,0,12,16,01-03-2021
17,A has given an Answer of the question How to write a for loop?,5,6,19,01-03-2021
18,Neha10 has given an Answer of the question What is the velocity of Light?,1,0,20,01-03-2021
19,Neha10 has given an Answer of the question What are Collections in Java?,1,1,21,01-03-2021
20,Neha10 has given an Answer of the question What is the velocity of light?,1,4,22,02-03-2021
